Проект,Контрагент,Период,План,Среднее за неделю,1 неделя,2 неделя,3 неделя,4 неделя,5 неделя,Дельта,Дельта (%)
Дмитровский,ООО Пакс Механизация,ноя.25,8,2,3,3,3,0,0,-6,-78%
Дмитровский,ООО Гринстрой,ноя.25,31,11,17,17,16,4,1,-20,-65%
Дмитровский,ООО СК Сети,ноя.25,2,2,0,0,3,3,3,0,-10%
Дмитровский,ООО СТМ Оскол,ноя.25,2,0,0,0,0,0,0,-2,-100%
Дмитровский,ООО СтройСервис,ноя.25,10,2,2,2,3,,,-8,-77%
Дмитровский,ООО Альфа С (БЛОК U3 U4),ноя.25,15,7,,5,5,9,10,-8,-52%
Дмитровский,ООО Инвесткомстрой (БЛОК U1 U2),ноя.25,15,2,,,0,2,5,-13,-84%
Ленинский,ООО САВ-Строй (вертикальная планировка),ноя.25,6,6,10,10,10,0,0,0,0%
Ленинский,ООО Стройдекор,ноя.25,10,5,8,8,8,0,0,-5,-52%
Ленинский,ООО СвайСпецСтрой,ноя.25,8,2,2,2,2,2,2,-6,-75%
Есипово V,ООО Апекс Контракшн,ноя.25,10,2,2,2,2,1,2,-8,-82%
Есипово V,ООО Мегастрой ,ноя.25,7,6,6,6,7,6,4,-1,-17%
Есипово V,ООО Технофло,ноя.25,18,0,0,0,0,0,0,-18,-100%
Есипово V,СТМ - Оскол,ноя.25,2,0,0,0,0,0,0,-2,-100%
Есипово V,ООО Стройдекор,ноя.25,2,1,0,0,2,0,1,-1,-70%
