Номер;Шифр;Наименование раздела;Количество разделов по Договору;"Дата выдачи разделов по
Договору"
1;ГП;Генеральный план;1;30.04.2025
2;АС;Общие архитектурные решения;9;30.04.2025
3;АС;Стеновые и кровельные ограждающие конструкции;7;30.04.2025
4;АС;Внутренние перегородки из сэндвич-панелей;6;30.04.2025
5;АС;Архитектурно-строительные решения пристроек;6;30.04.2025
6;КЖ;Фундаменты;9;30.04.2025
7;КЖ.И;Фундаменты. Изделия;7;30.04.2025
8;КЖ;Цоколь;7;30.04.2025
9;КЖ.И;Цоколь. Изделия;7;30.04.2025
10;КЖ;Доки;6;30.04.2025
11;КЖ.И;Доки. Изделия;6;30.04.2025
12;КЖ;Колонны;7;30.04.2025
13;КЖ.И;Колонны. Изделия;7;30.04.2025
14;КЖ;Полы;7;30.04.2025
15;КЖ;Плиты перекрытий;7;30.04.2025
16;КМ;Покрытие;7;30.04.2025
17;КМ;Конструкции АБК;6;30.04.2025
18;КМ;Наружный фахверк;7;30.04.2025
19;КМ;Внутренний фахверк;6;30.04.2025
20;КМ;Наружные лестницы;5;30.04.2025
21;ЭС;Электроснабжение;1;30.04.2025
22;НВК;Наружные сети водоснабжения и водоотведения;1;30.04.2025
23;НСС;Наружные сети связи;1;30.04.2025
24;ЭОМ;Освещение и электрооборудование;9;31.05.2025
25;ВК;Внутренние системы водоснабжения;9;31.05.2025
26;ОВ;Отопление Вент Конд;9;31.05.2025
27;ПС;Пожарная сигнализация;9;31.05.2025
28;АК;Автоматизация комплексная;7;31.05.2025
29;АПТ;Автоматическое пожаротушение;6;31.05.2025
30;ПЗ;Пояснительная записка;;
31;ПЗУ;Схема планировочной организации земельного участка;;
32;АР;Объемно-планировочние и архитектурные решения;;
33;КР;Конструктивные решения;;
34;ИОС;Сведения об инженерном оборудовании, о сетях инженернотехнического обеспечения, перечень инженерно-технических мероприятий, содержание технологических решений;;
35;ТХ;Технологические решения;;
36;ПОС;Проект организации строительства;;
37;ООС;Мероприятия по охране окружающей среды;;
38;ПБ;Мероприятия по обеспечению пожарной безопасности;;
39;ТБЭ;Требования к обеспечению безопасной эксплуатации объектов капитального строительства;;
40;ОДИ;Мероприятия по обеспечению доступа инвалидов к объекту капитального строительста;;
41;Инд.;Иная документация в случаях, предусмотренных законодательными и иными нормативными правовыми актами Российской Федерации;;
42;ПОС;Проект организации строительства;;
43;РАСП;Распоряжение;;
44;ВН,СКУД;Видеонаблюдение, Система контроля удаленного доступа;1;30.04.2025
45;ОГН;Огнезащита металлоконструкций;7;31.05.2025
46;НСП;Насосная станция пожаротушения;1;31.05.2025
47;АС;Конструктивные решения пристроек;6;31.05.2025
48;ВН;Система видеонаблюдения;1;31.05.2025
