"ID Раздела";"DivisionNumber";"DivisionCipher";"DivisionName"
9ce1c817-b5d1-4f10-98b1-078e14301f40;1;ГП;Генеральный план
bf7bff67-d7aa-495a-b20c-37bfddab4729;2;АС;Общие архитектурные решения
b42e9e5e-d7c6-4889-862a-4fc2bd6bc867;3;АС;Стеновые и кровельные ограждающие конструкции
7ce44339-ddf2-4600-a6f1-1fa16be97431;4;АС;Внутренние перегородки из сэндвич-панелей
91fdb4ba-7a36-41a7-8a7c-cc30e4ff48c0;5;АС;Архитектурно-строительные решения пристроек
36728a13-8010-4c22-b1cf-73c25b43b723;6;КЖ;Фундаменты
e1bdd1ff-e436-4c80-a1a1-6b8628b6ab9b;7;КЖ.И;Фундаменты. Изделия
df96aaef-ed73-4ff0-b3c9-4c75abcb6702;8;КЖ;Цоколь
5ca04edd-2155-4591-9d8e-6f70e9b9329c;9;КЖ.И;Цоколь. Изделия
79ae6ca5-b7dc-47eb-95e4-12cffe4404b2;10;КЖ;Доки
ee09cfa3-181b-4db3-9bfb-18a9a17e242f;11;КЖ.И;Доки. Изделия
912f7725-4756-45ae-aa3a-dee4329eae55;12;КЖ;Колонны
678d657d-ae43-47a1-8c0e-c2437383c1c8;13;КЖ.И;Колонны. Изделия
c42b6fef-ba42-43e1-8be8-e311bcea5e09;14;КЖ;Полы
f26916eb-2e3b-4ada-88ba-f9917cc7251a;15;КЖ;Плиты перекрытий
ec57fb7a-627b-41d2-aedd-e3955608a5ff;16;КМ;Покрытие
404434a0-8af9-4066-a339-3eba8c762554;17;КМ;Конструкции АБК
874ba813-864e-4d99-b640-26855a08efa1;18;КМ;Наружный фахверк
c2519752-f903-43d7-9c13-3647274a9d60;19;КМ;Внутренний фахверк
71eec0f9-e276-434a-a6e3-a010db2cd2c7;20;КМ;Наружные лестницы
a8596231-ed03-45e0-bbfa-ceac7aa014ee;21;ЭС;Электроснабжение
395ffe4d-0360-4b43-829e-c7fc1e64b4f7;22;НВК;Наружные сети водоснабжения и водоотведения
01506a3b-0052-4b49-a029-697a7476a42f;23;НСС;Наружные сети связи
12e4e7be-e0b5-4cf3-82e5-379c8ae0e4fc;24;ЭОМ;Освещение и электрооборудование
7569831b-c767-47af-b88c-858c86e6b265;25;ВК;Внутренние системы водоснабжения
38c26fa1-2e75-469d-bc75-6af9a19c3b1c;26;ОВ;Отопление Вент Конд
c80d0814-3f3f-4a01-8d12-4121a7c1062b;27;ПС;Пожарная сигнализация
49a1cee3-a4c3-40c6-a313-41b8e915ba17;28;АК;Автоматизация комплексная
d7f222b8-2ec0-4830-bd31-b00f7cd58446;29;АПТ;Автоматическое пожаротушение
62601fc4-9e64-4188-8d39-ce3da6ac1909;30;ПЗ;Пояснительная записка
5aa165ca-fd0e-475f-9150-eb1d25d297a2;31;ПЗУ;Схема планировочной организации земельного участка
3fb50cca-1177-419a-aef4-282b7a37ea42;32;АР;Объемно-планировочние и архитектурные решения
40f8a421-e7bc-4678-9523-fcc25a8ccb32;33;КР;Конструктивные решения
f3f56a7b-8c55-4da7-a0e7-9c47be49621d;34;ИОС;"Сведения об инженерном оборудовании, о сетях инженернотехнического обеспечения, перечень инженерно-технических мероприятий, содержание технологических решений"
06952900-a720-4913-acd0-ca3ee6b0a148;35;ТХ;Технологические решения
1d8956b6-73c1-4d75-98e1-88be341326a3;36;ПОС;Проект организации строительства
fb2243d1-3b8d-4ee5-a242-3f31d5685bbf;37;ООС;Мероприятия по охране окружающей среды
0e9ccd54-c7d5-4c3e-b714-cf59d639c5b3;38;ПБ;Мероприятия по обеспечению пожарной безопасности
d93ce44a-4250-4d4d-ba9b-dd032ce4caa0;39;ТБЭ;Требования к обеспечению безопасной эксплуатации объектов капитального строительства
f63d6f7d-ce66-48cc-bf9e-ee3fc2711802;40;ОДИ;Мероприятия по обеспечению доступа инвалидов к объекту капитального строительста
d3646b89-780e-4dc0-b3af-aa802bc01bf0;41;Инд.;"Иная документация в случаях, предусмотренных законодательными и иными нормативными правовыми актами Российской Федерации"
fa227c9a-d79b-4566-a7fc-510bc587627c;42;ПОС;Проект организации строительства
0dbc5ebb-3ddf-49ca-b2f6-7ffd74c6f9af;43;РАСП;Распоряжение
c4a6d3e1-046b-42f8-b646-d38da5b4e89c;44;"ВН,СКУД";"Видеонаблюдение, Система контроля удаленного доступа"
47cfafec-1d4c-48e2-80d5-47ac359584f6;45;ОГН;Огнезащита металлоконструкций
df09115a-289f-4832-b3ce-1d5b198b62c5;46;НСП;Насосная станция пожаротушения
08557e4c-6cfd-4a74-940f-f2fbeb420b25;47;АС;Конструктивные решения пристроек
0203148c-7a20-4e5e-85b9-b9502e2d8198;48;ВН;Система видеонаблюдения
d34f4e6c-ae6d-4611-93df-26fdc6556446;49;"КМ,КЖ";"Конструкции железобетонные, конструкции металлические"
4a09b574-b271-41ef-b91d-76d022c7c2f9;50;ПГК;Паспорт газовой котельной
0fdf29a1-da68-4944-8916-56bb8552fa41;51;ГСВ;Газоснабжение (внутренние устройство)
19edeab2-e2c2-4254-b0d9-8059aaa5d843;52;ГСН;Газоснабжение (наружное устройство)
